ts,price_eur_per_mwh,allocation
2015-01-10 23:00:00+00:00,0.05,1.3490022038488956
2015-01-11 00:00:00+00:00,-2.06,1.6690975937277266
2015-01-11 01:00:00+00:00,-4.11,1.923167751960086
2015-01-11 02:00:00+00:00,-5.06,2.0907126785459735
2015-01-11 03:00:00+00:00,-4.12,2.1622323734853888
2015-01-11 04:00:00+00:00,-0.74,2.1471268367783325
2015-01-11 05:00:00+00:00,-0.09,2.0791960684248045
2015-01-11 06:00:00+00:00,0.05,1.9649400684248044
2015-01-11 07:00:00+00:00,0.11,1.8057588367783324
2015-01-11 08:00:00+00:00,4.05,1.6022523734853886
2015-01-11 09:00:00+00:00,5.61,1.393820678545973
2015-01-11 10:00:00+00:00,9.91,1.1960637519600856
2015-01-11 11:00:00+00:00,8.71,1.0519815937277264
2015-01-11 12:00:00+00:00,0.11,0.9495742038488953
2015-01-11 13:00:00+00:00,0.11,0.8028415823235924
2015-01-11 14:00:00+00:00,0.15,0.6117837291518176
2015-01-11 15:00:00+00:00,6.73,0.3768006443335709
2015-01-11 16:00:00+00:00,13.72,0.1636923278688524
2015-01-11 17:00:00+00:00,12.44,0.042358779757662106
2015-01-11 18:00:00+00:00,14.88,-7.282755933861319e-21
2015-01-11 19:00:00+00:00,9.63,6.978294454201219e-22
2015-01-11 20:00:00+00:00,9.29,1.3508297055379069e-22
2015-01-11 21:00:00+00:00,10.18,0.018183542409123284
2015-01-11 22:00:00+00:00,0.12,0.09274185317177473
2015-01-11 23:00:00+00:00,9.3,0.12307493228795434
2015-01-12 00:00:00+00:00,2.87,0.20098277975766213
2015-01-12 01:00:00+00:00,0.09,0.2621653955808981
2015-01-12 02:00:00+00:00,0.1,0.2788227797576622
2015-01-12 03:00:00+00:00,0.07,0.2510549322879544
2015-01-12 04:00:00+00:00,0.11,0.17856185317177478
2015-01-12 05:00:00+00:00,10.05,0.061743542409123296
2015-01-12 06:00:00+00:00,17.03,1.896618085164505e-22
2015-01-12 07:00:00+00:00,17.92,2.256743146713402e-22
2015-01-12 08:00:00+00:00,17.66,7.251949013259106e-23
2015-01-12 09:00:00+00:00,17.66,9.064949079564321e-23
2015-01-12 10:00:00+00:00,17.41,5.677680436624492e-23
2015-01-12 11:00:00+00:00,15.43,1.6533898276653044e-22
2015-01-12 12:00:00+00:00,14.59,1.4918787971352354e-22
2015-01-12 13:00:00+00:00,6.63,0.000725231646471837
2015-01-12 14:00:00+00:00,0.15,0.022325231646471842
2015-01-12 15:00:00+00:00,15.63,1.619379183603279e-22
2015-01-12 16:00:00+00:00,18.34,1.326223974578978e-22
2015-01-12 17:00:00+00:00,17.86,8.740223570885339e-23
2015-01-12 18:00:00+00:00,16.78,3.543057881496242e-23
2015-01-12 19:00:00+00:00,15.68,1.1674420940890702e-22
2015-01-12 20:00:00+00:00,13.91,9.489268208848793e-23
2015-01-12 21:00:00+00:00,14.91,5.688162309494596e-23
2015-01-12 22:00:00+00:00,9.1,9.56301271907852e-23
2015-01-12 23:00:00+00:00,9.27,8.916554200430345e-23
2015-01-13 00:00:00+00:00,10.42,1.0298567107349324e-22
2015-01-13 01:00:00+00:00,11.16,1.0763772303991645e-22
2015-01-13 02:00:00+00:00,15.9,6.014615576238923e-23
2015-01-13 03:00:00+00:00,17.81,9.3035111920067e-23
2015-01-13 04:00:00+00:00,19.92,1.136254751345209e-22
2015-01-13 05:00:00+00:00,21.05,4.3863830354697415e-23
2015-01-13 06:00:00+00:00,32.37,8.320600027743043e-23
2015-01-13 07:00:00+00:00,32.28,-1.7989995399715733e-23
2015-01-13 08:00:00+00:00,28.47,9.137392640949242e-23
2015-01-13 09:00:00+00:00,26.07,1.4593330302108679e-22
2015-01-13 10:00:00+00:00,25.22,9.09180153101282e-23
2015-01-13 11:00:00+00:00,25.25,9.01931883964255e-23
2015-01-13 12:00:00+00:00,24.91,3.4682825222326814e-23
2015-01-13 13:00:00+00:00,25.62,3.7914909549596106e-23
2015-01-13 14:00:00+00:00,28.91,8.676650924493325e-23
2015-01-13 15:00:00+00:00,26.98,3.8170541120972506e-23
2015-01-13 16:00:00+00:00,27.12,8.953199248572621e-23
2015-01-13 17:00:00+00:00,26.98,9.098669356018122e-23
2015-01-13 18:00:00+00:00,26.87,3.5221231104379724e-23
2015-01-13 19:00:00+00:00,26.68,8.979379900354222e-23
2015-01-13 20:00:00+00:00,26.42,9.461323050250726e-23
2015-01-13 21:00:00+00:00,27.02,8.403454343457456e-23
2015-01-13 22:00:00+00:00,18.36,6.852584156684797e-23
2015-01-13 23:00:00+00:00,16.06,8.957273238287833e-23
2015-01-14 00:00:00+00:00,15.02,8.814990643469388e-23
2015-01-14 01:00:00+00:00,11.99,8.044428338287745e-23
2015-01-14 02:00:00+00:00,13.68,6.048979006997261e-23
2015-01-14 03:00:00+00:00,13.91,8.915752131237564e-23
2015-01-14 04:00:00+00:00,16.26,6.839179556698262e-23
2015-01-14 05:00:00+00:00,27.32,8.635435237677724e-23
2015-01-14 06:00:00+00:00,30.86,1.4613047335637245e-22
2015-01-14 07:00:00+00:00,28.92,9.265952815586168e-23
2015-01-14 08:00:00+00:00,28.76,3.464600024155059e-23
2015-01-14 09:00:00+00:00,29.0,3.506466067839114e-23
2015-01-14 10:00:00+00:00,28.51,1.4594150124379242e-22
2015-01-14 11:00:00+00:00,27.59,9.137854649645077e-23
2015-01-14 12:00:00+00:00,27.73,3.459680597262505e-23
2015-01-14 13:00:00+00:00,27.85,1.4635826382323604e-22
2015-01-14 14:00:00+00:00,28.85,9.095292881371612e-23
2015-01-14 15:00:00+00:00,30.79,9.106039883752317e-23
2015-01-14 16:00:00+00:00,31.87,3.4099782710124563e-23
2015-01-14 17:00:00+00:00,29.99,9.133362886301141e-23
2015-01-14 18:00:00+00:00,28.55,9.097276180493478e-23
2015-01-14 19:00:00+00:00,28.53,9.099912617502563e-23
2015-01-14 20:00:00+00:00,27.96,9.137310166234936e-23
2015-01-14 21:00:00+00:00,23.73,2.9017458707116484e-23
2015-01-14 22:00:00+00:00,16.29,1.2996080641437265e-22
2015-01-14 23:00:00+00:00,24.36,8.178694173936965e-23
2015-01-15 00:00:00+00:00,21.59,9.173636335479277e-23
2015-01-15 01:00:00+00:00,15.46,6.622050702163136e-23
2015-01-15 02:00:00+00:00,15.44,6.142854499174444e-23
2015-01-15 03:00:00+00:00,15.43,1.1484298992898198e-22
2015-01-15 04:00:00+00:00,15.47,7.110677377221141e-23
2015-01-15 05:00:00+00:00,25.85,8.263112655948351e-23
2015-01-15 06:00:00+00:00,26.28,9.474679819478203e-23
2015-01-15 07:00:00+00:00,26.55,1.4537857502642957e-22
2015-01-15 08:00:00+00:00,26.42,9.089469763987578e-23
2015-01-15 09:00:00+00:00,26.36,3.512773202772312e-23
2015-01-15 10:00:00+00:00,26.23,3.5192075455516705e-23
2015-01-15 11:00:00+00:00,26.12,1.462740961188642e-22
2015-01-15 12:00:00+00:00,26.18,9.073008616728729e-23
2015-01-15 13:00:00+00:00,26.3,1.4607372169029318e-22
2015-01-15 14:00:00+00:00,26.37,3.543824643953873e-23
2015-01-15 15:00:00+00:00,26.76,3.5095817441073934e-23
2015-01-15 16:00:00+00:00,26.89,9.064011082598297e-23
2015-01-15 17:00:00+00:00,26.65,9.060934761995837e-23
2015-01-15 18:00:00+00:00,26.41,-1.9128596708938304e-23
2015-01-15 19:00:00+00:00,26.05,1.4395049681277513e-22
2015-01-15 20:00:00+00:00,22.05,3.827686485939523e-23
2015-01-15 21:00:00+00:00,19.01,8.796813303489325e-23
2015-01-15 22:00:00+00:00,12.01,7.755894639865357e-23
2015-01-15 23:00:00+00:00,6.95,9.200683332959623e-23
2015-01-16 00:00:00+00:00,6.73,8.931685967698399e-23
2015-01-16 01:00:00+00:00,6.8,1.0321079538655685e-22
2015-01-16 02:00:00+00:00,6.76,9.702093951272124e-23
2015-01-16 03:00:00+00:00,6.74,1.458687150513237e-22
2015-01-16 04:00:00+00:00,0.94,0.018012615823235927
2015-01-16 05:00:00+00:00,15.0,1.3582060756089947e-22
2015-01-16 06:00:00+00:00,25.09,9.09942249737474e-23
2015-01-16 07:00:00+00:00,23.66,3.650676139065914e-23
2015-01-16 08:00:00+00:00,22.52,1.4765881909039107e-22
2015-01-16 09:00:00+00:00,24.3,3.288303256214039e-23
2015-01-16 10:00:00+00:00,22.94,3.551036119091018e-23
